2025-05-03 14:15:32.024 [http-nio-5001-exec-3] INFO  c.u.m.controller.AuthController - Method: signin - Args: [com.user.management.request.LoginRequest@1aaa590b]
2025-05-03 14:37:21.271 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:37:21.279 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:37:21.286 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:37:21.292 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 6 ms
2025-05-03 14:37:58.284 [http-nio-5001-exec-9] INFO  c.u.m.controller.AuthController - Method: signin - Args: [com.user.management.request.LoginRequest@7a194268]
2025-05-03 14:37:58.371 [http-nio-5001-exec-9] DEBUG c.u.m.controller.AuthController - Method signin executed in 87 ms
2025-05-03 14:37:58.409 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMyNzgsImV4cCI6MTc0NjM0OTY3OCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.Szg8ebSeKL3r_4siVk4AxNbxcLyyPFo3YShEl_N1JeaDEp3kkVgP4I0m8O6t-olr]
2025-05-03 14:37:58.417 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 8 ms
2025-05-03 14:37:58.555 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMyNzgsImV4cCI6MTc0NjM0OTY3OCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.Szg8ebSeKL3r_4siVk4AxNbxcLyyPFo3YShEl_N1JeaDEp3kkVgP4I0m8O6t-olr]
2025-05-03 14:37:58.564 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 9 ms
2025-05-03 14:37:58.608 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMyNzgsImV4cCI6MTc0NjM0OTY3OCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.Szg8ebSeKL3r_4siVk4AxNbxcLyyPFo3YShEl_N1JeaDEp3kkVgP4I0m8O6t-olr]
2025-05-03 14:37:58.614 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 6 ms
2025-05-03 14:38:31.605 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMyNzgsImV4cCI6MTc0NjM0OTY3OCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.Szg8ebSeKL3r_4siVk4AxNbxcLyyPFo3YShEl_N1JeaDEp3kkVgP4I0m8O6t-olr]
2025-05-03 14:38:31.610 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 5 ms
2025-05-03 14:38:39.041 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMyNzgsImV4cCI6MTc0NjM0OTY3OCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.Szg8ebSeKL3r_4siVk4AxNbxcLyyPFo3YShEl_N1JeaDEp3kkVgP4I0m8O6t-olr]
2025-05-03 14:38:39.052 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 11 ms
2025-05-03 14:38:40.114 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMyNzgsImV4cCI6MTc0NjM0OTY3OCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.Szg8ebSeKL3r_4siVk4AxNbxcLyyPFo3YShEl_N1JeaDEp3kkVgP4I0m8O6t-olr]
2025-05-03 14:38:40.123 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 9 ms
2025-05-03 14:38:42.789 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMyNzgsImV4cCI6MTc0NjM0OTY3OCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.Szg8ebSeKL3r_4siVk4AxNbxcLyyPFo3YShEl_N1JeaDEp3kkVgP4I0m8O6t-olr]
2025-05-03 14:38:42.796 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:38:57.128 [http-nio-5001-exec-5] INFO  c.u.m.controller.AuthController - Method: signin - Args: [com.user.management.request.LoginRequest@1e96d817]
2025-05-03 14:38:57.198 [http-nio-5001-exec-5] DEBUG c.u.m.controller.AuthController - Method signin executed in 70 ms
2025-05-03 14:38:57.228 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:38:57.233 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 5 ms
2025-05-03 14:38:59.771 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:38:59.780 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:38:59.791 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:38:59.801 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 10 ms
2025-05-03 14:38:59.812 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:38:59.818 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 6 ms
2025-05-03 14:38:59.827 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:38:59.833 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 6 ms
2025-05-03 14:39:04.126 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:39:04.133 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:39:04.143 [http-nio-5001-exec-2] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:39:04.151 [http-nio-5001-exec-2] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:39:04.161 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:39:04.166 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 5 ms
2025-05-03 14:39:04.174 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:39:04.181 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:44:15.907 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:15.915 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 8 ms
2025-05-03 14:44:15.927 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:15.934 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:44:16.649 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:16.661 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 12 ms
2025-05-03 14:44:16.677 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:16.687 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 10 ms
2025-05-03 14:44:16.701 [http-nio-5001-exec-2] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:16.711 [http-nio-5001-exec-2] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 10 ms
2025-05-03 14:44:16.725 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:16.733 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:44:21.943 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:21.949 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 6 ms
2025-05-03 14:44:21.959 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:21.963 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 4 ms
2025-05-03 14:44:22.246 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:22.254 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:44:22.269 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:22.278 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:44:22.290 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:22.296 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 6 ms
2025-05-03 14:44:22.310 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:44:22.321 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 11 ms
2025-05-03 14:46:02.558 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:46:02.564 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 6 ms
2025-05-03 14:46:02.683 [http-nio-5001-exec-2] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:46:02.690 [http-nio-5001-exec-2] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:46:02.702 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:46:02.711 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:46:08.108 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:46:08.112 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 4 ms
2025-05-03 14:46:45.854 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:46:45.863 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:46:45.873 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjMzMzcsImV4cCI6MTc0NjM0OTczNywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.yOVivqlOHpSlr4nJRBScvvvqfgW1mPz9I3yzI5f1Wn4P7_aspl8WkxdUPHoZPI4i]
2025-05-03 14:46:45.880 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:46:54.466 [http-nio-5001-exec-7] INFO  c.u.m.controller.AuthController - Method: signin - Args: [com.user.management.request.LoginRequest@903fd06]
2025-05-03 14:46:54.688 [http-nio-5001-exec-7] DEBUG c.u.m.controller.AuthController - Method signin executed in 222 ms
2025-05-03 14:46:54.725 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjM4MTQsImV4cCI6MTc0NjM1MDIxNCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.G_8Lf5iu1y1cRVfsvc5huLboJqwTHk2GxT32iU3qRvjiJKJ3XhIqRZT_wlXWI0CF]
2025-05-03 14:46:54.734 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 9 ms
2025-05-03 14:46:54.849 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjM4MTQsImV4cCI6MTc0NjM1MDIxNCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.G_8Lf5iu1y1cRVfsvc5huLboJqwTHk2GxT32iU3qRvjiJKJ3XhIqRZT_wlXWI0CF]
2025-05-03 14:46:54.861 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 12 ms
2025-05-03 14:46:54.898 [http-nio-5001-exec-2] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjM4MTQsImV4cCI6MTc0NjM1MDIxNCwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.G_8Lf5iu1y1cRVfsvc5huLboJqwTHk2GxT32iU3qRvjiJKJ3XhIqRZT_wlXWI0CF]
2025-05-03 14:46:54.914 [http-nio-5001-exec-2] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 18 ms
